"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2018-02-16T17:56:03.784+05:30","0.0","0.7"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2018-02-16T17:55:40.941+05:30","0.0","20.63"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2018-02-16T17:56:04.486+05:30","0.0","0.66"
