"Story","Title","Result","Date","Stability","Duration (s)"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2018-02-16T17:56:11.646+05:30","0.0","1.45"
"Students CRUD test","This test will create a new student using POST operation","SUCCESS","2018-02-16T17:55:40.457+05:30","0.0","21.39"
"Students CRUD test","Update the User Information and verify the updated information","SUCCESS","2018-02-16T17:56:08.339+05:30","0.0","3.31"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2018-02-16T17:56:02.364+05:30","0.0","5.98"
