"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","File does not exist","COMPROMISED","2018-02-16T17:56:03.815+05:30","0.0","0.89"
"First serenity test","Get all students","SUCCESS","2018-02-16T17:56:04.704+05:30","0.0","0.59"
"First serenity test","This is a manual test","PENDING","2018-02-16T17:56:02.614+05:30","0.0","0.33"
"First serenity test","This is a pending test","PENDING","2018-02-16T17:56:02.348+05:30","0.0","0.27"
"First serenity test","This is a skipped test","IGNORED","2018-02-16T17:55:39.771+05:30","0.0","1.48"
"First serenity test","This is atest with error","ERROR","2018-02-16T17:55:42.121+05:30","0.0","0.48"
"First serenity test","This isa failing","FAILURE","2018-02-16T17:56:02.941+05:30","0.0","0.86"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2018-02-16T17:55:42.667+05:30","0.0","19.68"
